zzzsSt,vrsta,oe,tip,sifOe,naziv,naslov,posta,tel,splStran
6098929,Zasebni,OE CELJE,Zobozdravnik,210000,MELADENS STORITVE IN SVETOVANJE D.O.O.,VRANSKO 130 D,3305 VRANSKO,(03) 705 50 00,https://www.meladens.com/
8779383,Zasebni,OE CELJE,Zobozdravnik,210000,NEJA JURJEC SMOLE - ZOBOZDRAVSTVENA DEJAVNOST - SPLOŠNO ZOBOZDRAVSTVO,CELJSKA CESTA 7,3250 ROGAŠKA SLATINA,,
4108680,Zasebni,OE CELJE,Zobozdravnik,210000,"NIKA PODBREGAR, DR.DENT.MED. - ZASEBNA ZOBNA AMBULANTA",PREŠERNOVA ULICA 6,3310 ŽALEC,(03) 710 05 75,http://www.ambulanta-podbregar.si/
3122219,Zasebni,OE CELJE,Zobozdravnik,210000,REPNIK NADA - ZASEBNA ZOBNA AMBULANTA,MESTNI TRG 17,3210 SLOVENSKE KONJICE,03 575 54 05,http://www.zdravniki-zobozdravniki.net/nadarepnik
3861300,Zasebni,OE CELJE,Zobozdravnik,210000,RONALD NOVAK DR.DENT.MED. - ZASEBNA ZOBOZDRAVSTVENA AMBULANTA,PREŠERNOVA ULICA 6,3310 ŽALEC,03 571 62 00,http://www.zdravniki-zobozdravniki.net/clan/ronald-novak-1114
2881549,Zasebni,OE CELJE,Zobozdravnik,210000,"SANIDENT STORITVENO PODJETJE, D.O.O.",KOVAŠKA CESTA 25 B,3214 ZREČE,03 757 67 00,http://www.sanident.weebly.com
4315836,Zasebni,OE CELJE,Zobozdravnik,210000,"SANJA RAŠIĆ, DDM ZASEBNA ZOBOZDRAVSTVENA ORDINACIJA",GRAŠČINSKA CESTA 11,3312 PREBOLD,(03) 705 34 90,https://www.zdravniki-zobozdravniki.net/clan/Sanja-RASIC-1085/
5937785,Zasebni,OE CELJE,Zobozdravnik,210000,"SAŠO HRIBAR, DR. DENT. MED. - ZASEBNA ZOBNA AMBULANTA",PREŠERNOVA ULICA 6,3310 ŽALEC,(03) 713 43 74,http://zobozdravstvo-hribar.si
3859706,Zasebni,OE CELJE,Zobozdravnik,210000,"SIMONA JUG MEHLE, DR.DENT.MED. - ZASEBNA ZOBNA ORDINACIJA",CELJSKA CESTA 16,3240 ŠMARJE PRI JELŠAH,,http://www.zobna-mehle.si
3424580,Zasebni,OE CELJE,Zobozdravnik,210000,"SMAJILA BOJAN, DR. DENT. MED. - ZASEBNA ZOBNA ORDINACIJA",BRASLOVČE 27,3314 BRASLOVČE,03 705 03 00,https://www.zobnaordinacija-braslovce.si/
7133080,Zasebni,OE CELJE,Zobozdravnik,210000,"SMEJKO, PETRA PRODAN ŠUMNIK, ZOBOZDRAVSTVO & ESTETIKA, D.O.O.",LAVA 7,3000 CELJE,03 548 51 19,"http://Strokovno združenje zasebnih zdravnikov in zobozdravnikov Slovenije, SMEJKO, d.o.o."
3122588,Zasebni,OE CELJE,Zobozdravnik,210000,"STRNIŠA ZORAN, DR. DENT. MED. - ZASEBNA ZOBNA ORDINACIJA",LJUBLJANSKA CESTA 14,3000 CELJE,(03) 548 50 07,https://www.zdravniki-zobozdravniki.net/clan/Zoran-STRNISA-1167/
3112564,Zasebni,OE CELJE,Zobozdravnik,210000,TESTEN ALEKSANDER - ZASEBNA ZOBNA AMBULANTA,GREGORČIČEVA ULICA 5,3000 CELJE,(03) 490 89 60,http://www.zobozdravstvo-testen.si/
3232976,Zasebni,OE CELJE,Zobozdravnik,210000,VEZOČNIK ERIKA - ZASEBNA ZOBNA AMBULANTA,GLAVNI TRG 15,3313 POLZELA,03 705 04 53,http://www.slovenski-zobozdravniki.si/erika-vezocnik
4250729,Zasebni,OE CELJE,Zobozdravnik,210000,VRANKIČ ZOBOZDRAVSTVO IN HIPNOTERAPIJA D.O.O.,KERŠOVA ULICA 1,3212 VOJNIK,(03) 577 35 95,https://ezdravnik.si/zdravnik/vrankic-zeljko/
6277527,Zasebni,OE CELJE,Zobozdravnik,210000,"WAHIBI ZDRAVSTVENE STORITVE, TRGOVINA D.O.O.",CELJSKA CESTA 26,3212 VOJNIK,03 543 43 70,https://www.zdravniki-zobozdravniki.net/clan/Raid-WAHIBI-752/
4381981,Zasebni,OE CELJE,Zobozdravnik,210000,"ZASEBNA ZOBNA AMBULANTA - ALEKSANDRA ŠRAMEL, DR. DENT. MED.",ROGAŠKA CESTA 21,3240 ŠMARJE PRI JELŠAH,(03) 582 25 25,https://www.zdravniki-zobozdravniki.net/clan/Aleksandra-SRAMEL-1183/
3435140,Zasebni,OE CELJE,Zobozdravnik,210000,ZASEBNA ZOBNA AMBULANTA - DARINKA JUHART,MESTNI TRG 17,3210 SLOVENSKE KONJICE,03 575 33 29,http://www.zdravniki-zobozdravniki.net/clan/Darinka-JUHART-1102/
4223743,Zasebni,OE CELJE,Zobozdravnik,210000,"ZASEBNA ZOBNA AMBULANTA ALEKSANDRA FABJAN, DR.DENT.MED.",GREGORČIČEVA ULICA 5,3000 CELJE,03 54 34 353,https://www.zdravniki-zobozdravniki.net/clan/Aleksandra-FABJAN-IVACIC-1511/
4163067,Zasebni,OE CELJE,Zobozdravnik,210000,"ZASEBNA ZOBNA AMBULANTA ALENKA MANDIĆ, DR.DENT.MED.",GREGORČIČEVA ULICA 5,3000 CELJE,03 543 43 61,https://www.zdravniki-zobozdravniki.net/clan/Alenka-MANDIC-979/
3096863,Zasebni,OE CELJE,Zobozdravnik,210000,"ZASEBNA ZOBNA AMBULANTA DANICA AUŽNER ŠKORJANC, DR.DENT.MED.",GREGORČIČEVA ULICA 5,3000 CELJE,03 543 43 68,https://www.zdravniki-zobozdravniki.net/clan/Danica-AUZNER-SKORJANC-1099/
3134295,Zasebni,OE CELJE,Zobozdravnik,210000,"ZASEBNA ZOBNA AMBULANTA NIKOLA POTOČNIK, DR.DENT.MED.",MESTNI TRG 5,3310 ŽALEC,03 571 60 44,https://www.zdravniki-zobozdravniki.net/clan/Nikola-POTOCNIK-16/#ordinacija
4225329,Zasebni,OE CELJE,Zobozdravnik,210000,"ZASEBNA ZOBNA AMBULANTA ZA OTROKE IN MLADINO MOJCA DREV, DR.DENT.MED.",GREGORČIČEVA ULICA 5,3000 CELJE,03 543 43 43,http://Mojca Drev www.zdravniki-zobozdravniki.net
3122634,Zasebni,OE CELJE,Zobozdravnik,210000,ZASEBNA ZOBNA AMBULANTA ČEDOMIR CESAREC DR. DENT. MED,CELJSKA CESTA 14,3240 ŠMARJE PRI JELŠAH,(03) 582 24 35,https://cesarec-dent.com/
5541992,Zasebni,OE CELJE,Zobozdravnik,210000,"ZASEBNA ZOBNA AMBULANTA, SAŠA DOLAR, S.P.",GRAŠČINSKA CESTA 11,3312 PREBOLD,082 054 040,https://www.zdravniki-zobozdravniki.net/clan/Sasa-DOLAR-PETELINSEK-1276/
4248942,Zasebni,OE CELJE,Zobozdravnik,210000,ZASEBNA ZOBNA ORDINACIJA - BOJANA DEBELJAK DANIELOV DR. DENT. MED.,ZDRAVILIŠKI TRG 25,3250 ROGAŠKA SLATINA,(03) 818 37 80,https://www.zdravniki-zobozdravniki.net/clan/Bojana-DEBELJAK-DANIELOV-963/
8229064,Zasebni,OE CELJE,Zobozdravnik,210000,"ZASEBNA ZOBNA ORDINACIJA DAVID VIZJAK, DR. DENT. MED.",GLAVNI TRG 15,3313 POLZELA,03 572 27 00,https://www.zdravniki-zobozdravniki.net/clan/David-VIZJAK-1597/
4104830,Zasebni,OE CELJE,Zobozdravnik,210000,"ZASEBNA ZOBNA ORDINACIJA, NIKO VRABL, DR.DENT.MED.",PREŠERNOVA ULICA 6,3310 ŽALEC,03 710 12 22,http://www.zobozdravstvo-vrabl.com
4225485,Zasebni,OE CELJE,Zobozdravnik,210000,"ZASEBNA ZOBOZDRAVSTVENA AMBULANTA JUDITA KIŠ ZUPANC, DR.DENT.MED.",LAVA 7,3000 CELJE,03 543 43 63,https://www.zdravniki-zobozdravniki.net/clan/Judita-KIS-ZUPANC-1245/
5574160,Zasebni,OE CELJE,Zobozdravnik,210000,ZDRAVSTVENI ZAVOD D.D.M.,POŽENELOVA ULICA 22,3270 LAŠKO,040 585 000,http://www.leljak-dental.com
4272966,Zasebni,OE CELJE,Zobozdravnik,210000,"ZOBNA ORDINACIJA FABJAN - TINA FABJAN, DR. DENT. MED.",AŠKERČEVA ULICA 14,3000 CELJE,,http://www.medicalfabjan.si/zobna-ordinacija/
691359,Zasebni,OE CELJE,Zobozdravnik,210000,"ZOBNA VILA, DENTALNI STUDIO, D.O.O.",TRUBARJEVA ULICA 11,3000 CELJE,(041) 206 266,http://www.zobnavilacelje.si/
4014458,Zasebni,OE CELJE,Zobozdravnik,210000,ZOBOZDRAVSTVENI ZAVOD VERTAČNIK,DOBRAVA PRI KONJICAH 3 B,3210 SLOVENSKE KONJICE,03 759 29 30,http://dr-vertacnik.si/
5912859,Zasebni,OE CELJE,Zobozdravnik,210000,"ZOBOZDRAVSTVO BENEDEK, D.O.O.",MESTNA ULICA 7,3270 LAŠKO,03 734 36 16,http://www.benedek.si
6361620,Zasebni,OE CELJE,Zobozdravnik,210000,"ZORIDENT, ZOBOZDRAVSTVO, D.O.O.",KERŠOVA ULICA 1,3212 VOJNIK,03 781 26 02,http://www.zorident.si
3760248,Zasebni,OE CELJE,Zobozdravnik,210000,ŠMIGOC MOJCA DR.DENT.MED. - ZASEBNA ZOBNA ORDINACIJA,LAVA 7,3000 CELJE,,http://www.zdravniki-zobozdravniki.net-Mojca Šmigoc dr.dent.med.
4345255,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,"AMBULANTA SPLOŠNE MEDICINE MAGDA ČEČ DOLES DR. MED, SPEC. SPL. MED.",PREČNA ULICA 2,6230 POSTOJNA,05 905 02 67,https://www.zdravniki-zobozdravniki.net/clan/Magda-CEC-DOLES-1044/
3655301,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,"DR. DANEU, SPECIALISTIČNA AMBULANTA ZA OTROKE IN MLADINO D.O.O.",CESTA SOLINARJEV 1,6320 PORTOROŽ - PORTOROSE,(05) 677 90 80,https://www.zd-piran.si/oddelek.php?zdravnik=27
3112121,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,FEBRIS ZDRAVNIŠKE USLUGE IN SVETOVANJE D.O.O.,KOLODVORSKA CESTA 24,6257 PIVKA,(05) 757 25 61,http://www.febris.si
3859694,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,"FLAVIANO TONELLO, DR.MED. SPEC.SPL.MED. ZASEBNA SPECIALISTIČNA AMBULANTA SPLOŠNE MEDICINE S KONCESIJO",DEKANI 191,6271 DEKANI,"(05) 658 00 79,",http://www.zd-koper.si/si/ambulante/zasebna-specialisticna-ambulanta-splosne-medicine-tonello-flaviano/
5220515,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,"GAIA MED, KLINIKA ZA SPLOŠNO MEDICINO IN OSTEOPOROZO, D.O.O.",JAMSKA CESTA 23,6230 POSTOJNA,(05) 720 33 33,http://gaiamed.si/si/ambulante/ambulanta-splosne-medicine-gaia-med/
2936450,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,GARMUŠ SONJA - ZASEBNA SPLOŠNA AMBULANTA,KOLODVORSKA CESTA 24,6257 PIVKA,(05) 757 05 40,http://www.ambulanta-garmus.si
3078187,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,LAKOVIČ-BOSSMAN KARMEN - ZASEBNA SPECIALISTIČNA AMBULANTA SPLOŠNE MEDICINE,SEČA 197 A,6320 PORTOROŽ - PORTOROSE,082 003 022,https://www.karmenlakovicbossman.com/
6961668,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,"PERUN MED, ZDRAVSTVENE STORITVE IN SVETOVANJE, D.O.O.",LEVSTIKOVA ULICA 2,6210 SEŽANA,05 75 73 199,http://www.ordinacija-dukic-pivka.net
3055953,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,TOMC RASTA DR.MED. - ZASEBNA ORDINACIJA SPLOŠNE MEDICINE S KONCESIJO,VOJKOVO NABREŽJE 23,6000 KOPER - CAPODISTRIA,05 626 02 94,https://www.zdravniki-zobozdravniki.net/clan/Rasta-TOMC-424/
4223604,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,"ZASEBNA PEDIATRIČNA ORDINACIJA IVAN KAUZLARIĆ, DR. MED. SPEC. PEDIATRIJE IN ŠOLSKE MEDICINE",GREGORČIČEVA CESTA 8,6250 ILIRSKA BISTRICA,(05) 714 25 77,http://www.zdravniki-zobozdravniki.net/clan/ivan-kauzlaric-985
8040552,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,"ZASEBNA SPLOŠNA AMBULANTA NOVAK, JASNA NOVAK, DR.MED.",OBRTNIŠKA ULICA 30,6000 KOPER - CAPODISTRIA,05 625 00 72,https://www.ambulantanovak.si/
3305629,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,ZASEBNI ZDRAVSTVENI ZAVOD BOSSMAN PETER,VOJKOVO NABREŽJE 32,6000 KOPER - CAPODISTRIA,(05) 630 85 40,http://www.bossman.si/
3922325,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,ZASEBNI ZDRAVSTVENI ZAVOD PEŠIĆ - IZOLA,ULICA OKTOBRSKE REVOLUCIJE 11,6310 IZOLA - ISOLA,05 662 52 22,https://www.zdravniki-zobozdravniki.net/clan/Tihomir-PESIC-793/
4529856,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,"ZDRAVJE METKA IN BRANIMIR, ZDRAVSTVENE DEJAVNOSTI IN STORITVE, D.O.O.",KOLOMBAN 38 F,6280 ANKARAN - ANCARANO,05 625 00 66,https://ezdravnik.si/zdravnik/zdravje-metka-branimir/
3931283,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,ZDRAVJE ZDRAVSTVENE STORITVE IN SVETOVANJE D.O.O.,ULICA PADLIH BORCEV 22,6258 PRESTRANEK,(05) 754 01 70,http://gaiamed.si/si/ambulante/ambulanta-splosne-medicine-zdravje/
4987605,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,ZDRAVSTVENI ZAVOD DR. VUČKO PORTOROŽ,CESTA SOLINARJEV 1,6320 PORTOROŽ - PORTOROSE,05 677 99 00,http://zavod-vucko.si
4972021,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,ZDRAVSTVENI ZAVOD RADI&RADI KOPER,BEBLERJEVA ULICA 7,6000 KOPER - CAPODISTRIA,05 628 53 55,https://andrej-radi.si/
5252731,Zasebni,OE KOPER,"Družinski, otroški in šolski zdravnik",220000,ZDRAVSTVENI ZAVOD ZDRAVLJENJE KOPER,CESTA NA MARKOVEC 31,6000 KOPER - CAPODISTRIA,05 933 83 80,http://www.ambulanta-fabris.si/
2940210,Zasebni,OE KOPER,Specialist,220000,HRVATIN-MAHNIČ DANICA - SPECIALISTIČNA AMBULANTA ZA GINEKOLOGIJO IN PORODNIŠTVO,PREČNA ULICA 2,6230 POSTOJNA,05 726 42 20,http://drdanicahrvatin.si
5968776,Zasebni,OE KOPER,Specialist,220000,ZDRAVSTVENI ZAVOD SAMSTAL KOPER,ROZMANOVA ULICA 13,6000 KOPER - CAPODISTRIA,(05) 933 80 00,https://samstal.si/
507343,Zasebni,OE KOPER,Zobozdravnik,220000,"A DENT, TRGOVINA IN STORITVE, D.O.O.",PARTIZANSKA CESTA 63,6210 SEŽANA,05 734 13 03,https://adent.si/
3269561,Zasebni,OE KOPER,Zobozdravnik,220000,"A. MLINAR, ZOBOZDRAVSTVO, PROJEKTIRANJE IN DRUGE STORITVE D.O.O.",FRENKOVA ULICA 7,6280 ANKARAN - ANCARANO,040 827 521,http://www.dcmlinar.si
4718174,Zasebni,OE KOPER,Zobozdravnik,220000,"BLAŽ KNEZ, DR. DENT. MED., ZOBNA ORDINACIJA",PREČNA ULICA 2,6230 POSTOJNA,05 726 48 25,https://www.zdravniki-zobozdravniki.net/clan/Blaz-KNEZ-1199/
3055940,Zasebni,OE KOPER,Zobozdravnik,220000,DAVOR ŠTANFEL DR.DENT.MED.-ZASEBNA STOMATOLOŠKA ORDINACIJA,OBRTNIŠKA ULICA 30,6000 KOPER - CAPODISTRIA,(05) 639 76 26,http://www.slovenski-zobozdraniki.si/davor-stanfel
4223760,Zasebni,OE KOPER,Zobozdravnik,220000,DENIS AČKO JARKOVIČ DR.DENT.MED. ZOBNA AMBULANTA,DELLAVALLEJEVA ULICA 3,6000 KOPER - CAPODISTRIA,05 664 72 31,https://www.zdravniki-zobozdravniki.net/clan/Denis-ACKO-JARKOVIC-964/
444328,Zasebni,OE KOPER,Zobozdravnik,220000,"DENTEC - ZDRAVSTVENE STORITVE, D.O.O. KOPER",DOLINSKA CESTA 17 C,6000 KOPER - CAPODISTRIA,05 62 603 36,"http://www.zobozdravnik-koper.si,"
2929663,Zasebni,OE KOPER,Zobozdravnik,220000,DEVETAK ANDREJ - ZOBNA AMBULANTA,KAJUHOVA ULICA 1 B,6310 IZOLA - ISOLA,05 641 51 95,https://www.informacija.net/podjetja/prosti-cas-in-zdravje/zdravje/zobna-ordinacija-devetak-andrej-d
2907548,Zasebni,OE KOPER,Zobozdravnik,220000,DIANA OKRETIČ - ZOBOZDRAVSTVENA ORDINACIJA,ULICA OKTOBRSKE REVOLUCIJE 11,6310 IZOLA - ISOLA,05 641 45 68,http://www.slovenski-zobozdravniki.si/diana-okretic
2674956,Zasebni,OE KOPER,Zobozdravnik,220000,"DR. ČOK DENTAL, ZOBOZDRAVSTVO D.O.O.",OBALA 114,6320 PORTOROŽ - PORTOROSE,05 677 17 00,http://www.drcokdental.si
8583348,Zasebni,OE KOPER,Zobozdravnik,220000,"ENKA, ZOBOZDRAVSTVO, NINA KRAŠEVEC S.P.",PREČNA ULICA 3,6257 PIVKA,068-164-107,
3844807,Zasebni,OE KOPER,Zobozdravnik,220000,FIDELITAS ZOBNA AMBULANTA IN STORITVE D.O.O.,CANKARJEVA ULICA 6,6230 POSTOJNA,05 754 01 10,https://www.fidelitas.si/default.asp
3187856,Zasebni,OE KOPER,Zobozdravnik,220000,GLINTIĆ NEBOJŠA - ZOBNA AMBULANTA,ULICA PRI VELIKIH VRATIH 18,6000 KOPER - CAPODISTRIA,(05) 626 10 30,https://www.zdravniki-zobozdravniki.net/clan/Nebojsa-GLINTIC-1082/
2936416,Zasebni,OE KOPER,Zobozdravnik,220000,GRUJIĆ SPOMENKA - ZASEBNA ZOBOZDRAVSTVENA AMBULANTA OTROK IN MLADINE,PREČNA ULICA 2,6230 POSTOJNA,"(05) 720 20 00, 041 567 012",https://www.zd-po.si/zasebna-zobna-ambulanta-otrok-in-mladine-spomenka-grujic-dr-dent-med/
2907565,Zasebni,OE KOPER,Zobozdravnik,220000,JAKLJEVIĆ VLATKO - ZOBOZDRAVSTVENA AMBULANTA ZA OTROKE IN MLADINO,GREGORČIČEVA CESTA 8,6250 ILIRSKA BISTRICA,(05) 714 22 21,https://www.ezobozdravnik.si/seznam-zobozdravnikov/zobozdravstvena-ambulanta-jakljevic-vlatko/
3227397,Zasebni,OE KOPER,Zobozdravnik,220000,JURIČEV MARIN - ZASEBNA ZOBNA AMBULANTA,KOLODVORSKA CESTA 24,6257 PIVKA,(05) 757 25 64,https://www.zdravniki-zobozdravniki.net/clan/Marin-JURICEV-627/
2665878,Zasebni,OE KOPER,Zobozdravnik,220000,LOGAR-DERNIČ TJAŠA - ZOBNA AMBULANTA,STANIČEV TRG 1,6000 KOPER - CAPODISTRIA,"(05) 626 02 88, 041 896 978",https://www.cakalnedobe.si/ambulante/logar-dernic-tjasa-zobna-ambulanta-zobozdravstvena-dejavnost/
3970019,Zasebni,OE KOPER,Zobozdravnik,220000,"MARIDENT, STOMATOLOŠKA ORDINACIJA IN ZOBNI LABORATORIJ D.O.O.",ISTRSKA CESTA 89 B,6000 KOPER - CAPODISTRIA,052 674 10 18,http://www.marident.si
1950560,Zasebni,OE KOPER,Zobozdravnik,220000,MATANIČ JASENKA - ZOBOZDRAVNIK,PREŠERNOVA CESTA 53,6310 IZOLA - ISOLA,05 640 40 40,http://zobozdravnik-matanic.com
4344874,Zasebni,OE KOPER,Zobozdravnik,220000,"NIVES KREBELJ ŠKOF, DR.DENT.MED., ZOBNA AMBULANTA OLMO",CESTA NA MARKOVEC 1,6000 KOPER - CAPODISTRIA,05 664 74 19,https://www.zdravniki-zobozdravniki.net/clan/Nives-KREBELJ-SKOF-1038/
5104639,Zasebni,OE KOPER,Zobozdravnik,220000,OSKAR IN BARBARA ZOBOZDRAVSTVENE STORITVE D.O.O.,ULICA 15.MAJA 19,6000 KOPER - CAPODISTRIA,05 624 11 11,http://www.pepermint-dental.si
3645748,Zasebni,OE KOPER,Zobozdravnik,220000,POŽRL MARKO DR.DENT.MED. - ZOBOZDRAVSTVENA ORDINACIJA,KAJUHOVA ULICA 34,6310 IZOLA - ISOLA,(05) 640 12 60,http://www.markopozrl.si
3078173,Zasebni,OE KOPER,Zobozdravnik,220000,SAMOTORČAN SLAVKO - ZASEBNA ZOBNA AMBULANTA,CESTA SOLINARJEV 1,6320 PORTOROŽ - PORTOROSE,05 673 34 30,http://www.ambulanta-samotorcan.si
3078190,Zasebni,OE KOPER,Zobozdravnik,220000,SOMRAK SAMO - DOKTOR STOMATOLOGIJE,FAZAN 1,6320 PORTOROŽ - PORTOROSE,"(05) 677 18 53, 040 636 121",http://www.zdravniki-zobozdravniki.net/clan/Samo-SOMRAK-560/
483635,Zasebni,OE KOPER,Zobozdravnik,220000,"STIL PODJETJE ZA TRGOVINO, TURIZEM IN STORITVE D.O.O.",ROŽNA ULICA 1 A,6230 POSTOJNA,(05) 720 20 30,
6031706,Zasebni,OE KOPER,Zobozdravnik,220000,"VESNA DOBRAVC, DR.DENT.MED., AMBULANTA ZA ŠOLSKO IN MLADINSKO ZOBOZDRAVSTVO",PREČNA POT 4 D,6320 PORTOROŽ - PORTOROSE,05 673 11 56,http://www.smar-team-org.si/DobravcVesna/dobravcdomov.html
3758890,Zasebni,OE KOPER,Zobozdravnik,220000,"ZASEBNA ZOBNA AMBULANTA MIRJAM BRAJNIK, DR.DENT.MED.",ULICA OKTOBRSKE REVOLUCIJE 11,6310 IZOLA - ISOLA,05 663 50 30,http://www.slovenski-zobozdravniki.si/mirjam-brajnik
4222340,Zasebni,OE KOPER,Zobozdravnik,220000,"ZASEBNA ZOBOZDRAVSTVENA ORDINACIJA ZA ODRASLE IN MLADINO SAMO SPETIČ, DR. DENT. MED.",PODGRAD 12 B,6244 PODGRAD,(05) 783 52 30,http://www.zobozdravnik-spetic.si
3078202,Zasebni,OE KOPER,Zobozdravnik,220000,ZASEBNA ŠOLSKA IN MLADINSKA ZOBNA AMBULANTA BEDENE ZVEZDANA - DR. DENTALNE MEDICINE,POT V GAJ 2,6000 KOPER - CAPODISTRIA,05 663 28 88,https://www.zdravniki-zobozdravniki.net/clan/Zvezdana-BEDENE-1180/
3305919,Zasebni,OE KOPER,Zobozdravnik,220000,ZASEBNI ZDRAVSTVENI ZAVOD MARC,VOJKOVO NABREŽJE 32,6000 KOPER - CAPODISTRIA,05 639 64 60,https://www.zobna-marc.si/
4623421,Zasebni,OE KOPER,Zobozdravnik,220000,ZDRAVSTVENI ZAVOD BELDENT IZOLA,ŠARED 51,6310 IZOLA - ISOLA,05 6207 227,http://www.slovenski-zobozdraniki.si/zz-beldent
5687220,Zasebni,OE KOPER,Zobozdravnik,220000,ZDRAVSTVENI ZAVOD DENTAN KOPER,BENČIČEVA ULICA 2 D,6000 KOPER - CAPODISTRIA,(05) 628 38 50,http://www.dentan.si
5992084,Zasebni,OE KOPER,Zobozdravnik,220000,ZDRAVSTVENI ZAVOD DENTARTES KOPER,VLAČIČEVA ULICA 2 A,6000 KOPER - CAPODISTRIA,(05)626 02 28,https://www.cakalnedobe.si/ambulante/zdravstveni-zavod-dentartes-koper-zobozdravstvena-dejavnost/
4517021,Zasebni,OE KOPER,Zobozdravnik,220000,ZDRAVSTVENI ZAVOD DENTES PORTOROŽ,OBALA 105,6320 PORTOROŽ - PORTOROSE,05 664 73 68,https://www.dentes.si/sl/kje-smo/
4396695,Zasebni,OE KOPER,Zobozdravnik,220000,ZDRAVSTVENI ZAVOD IMPLANT DENT POSTOJNA,PREČNA ULICA 2,6230 POSTOJNA,070 826 778,http://www.implantdentpostojna.eu/
5951814,Zasebni,OE KOPER,Zobozdravnik,220000,ZDRAVSTVENI ZAVOD MARKDENS KOPER,BEBLERJEVA ULICA 7,6000 KOPER - CAPODISTRIA,05 628 53 52,http://www.markdens.si
5628458,Zasebni,OE KOPER,Zobozdravnik,220000,ZDRAVSTVENI ZAVOD MIRADENT KOPER,CESTA ZORE PERELLO-GODINA 1,6000 KOPER - CAPODISTRIA,(05) 663 81 60,http://www.zdravniki-zobozdravniki.net/clan/mirjana-tavcar-782/
5479130,Zasebni,OE KOPER,Zobozdravnik,220000,ZDRAVSTVENI ZAVOD ODONTO HRPELJE,BOROVA ULICA 2,6240 KOZINA,031 349 373,http://www.odonto.eu
4980118,Zasebni,OE KOPER,Zobozdravnik,220000,ZDRAVSTVENI ZAVOD V. DENS IZOLA,JUŽNA CESTA 4 B,6310 IZOLA - ISOLA,05 66 647 246,http://www.vdens.com
4258295,Zasebni,OE KOPER,Zobozdravnik,220000,ZDRAVSTVENI ZAVOD VARIX KOPER,GLAGOLJAŠKA ULICA 1 C,6000 KOPER - CAPODISTRIA,05 664 72 33,https://www.zdravniki-zobozdravniki.net/clan/Zlata-GASPARINI-1039/
4109564,Zasebni,OE KOPER,Zobozdravnik,220000,ZOBNA AMBULANTA S KONCESIJO DEKANI HELENA POLES DR.DENT.MED.,DEKANI 209,6271 DEKANI,05 658 00 84,http://www.zobozdravnik-poles.si/
6219520,Zasebni,OE KOPER,Zobozdravnik,220000,"ZOBNA ORDINACIJA META ČESNIK, DR. DENT. MED.",KOLODVORSKA CESTA 24,6257 PIVKA,05 620 34 50,http://zobozdravstvo-mc.si
5368620,Zasebni,OE KOPER,Zobozdravnik,220000,"ZOBOZDRAVSTVENA DEJAVNOST, KRISTINA ZIGANTE DR.DENT.MED.",VOJKOVO NABREŽJE 27,6000 KOPER - CAPODISTRIA,041 600 149,http://www.slovenski-zobozdravniki.si/kristina-zigante
6800120,Zasebni,OE KOPER,Zobozdravnik,220000,"ZOBOZDRAVSTVENA DEJAVNOST, LUKA GOMEZELJ S.P.",KAJUHOVA ULICA 34,6310 IZOLA - ISOLA,,
6257478,Zasebni,OE KOPER,Zobozdravnik,220000,ZOBOZDRAVSTVENI ZAVOD G DENT KOPER,PRISOJNA POT 10,6000 KOPER - CAPODISTRIA,"05 909 75 90, 051 266 466",http://www.dentone.si/
6520822,Zasebni,OE KOPER,Zobozdravnik,220000,ZOBOZDRAVSTVENI ZAVOD MEDICADENS ŠKORJA SORIĆ,ČENTUR 23,6273 MAREZIGE,(05) 672 03 80,http://www.medicadens.si
4196582,Zasebni,OE KRANJ,"Družinski, otroški in šolski zdravnik",240000,AMBULANTA DEMŠAR D.O.O.,VISOKO PRI POLJANAH 5,4220 ŠKOFJA LOKA,04 513 88 88,http://www.ambulanta-demsar.si
7061535,Zasebni,OE KRANJ,"Družinski, otroški in šolski zdravnik",240000,"AMBULANTA DOLENC, DRUŽBA ZA ZDRAVSTVENE STORITVE, IZOBRAŽEVANJE IN SVETOVANJE, D.O.O.",STARA CESTA 10,4220 ŠKOFJA LOKA,04 511 17 10,http://www.ambulanta-dolenc.si
